metric,value,step
em_Walmart-Amazon_lm_roberta_da_auto_ssl_alpha_0.8_id_0_size_600,0.0833333358168602,1.0
em_Walmart-Amazon_lm_roberta_da_auto_ssl_alpha_0.8_id_0_size_600,0.21310390532016754,2.0
em_Walmart-Amazon_lm_roberta_da_auto_ssl_alpha_0.8_id_0_size_600,0.046875,3.0
em_Walmart-Amazon_lm_roberta_da_auto_ssl_alpha_0.8_id_0_size_600,0.23056767880916595,4.0
em_Walmart-Amazon_lm_roberta_da_auto_ssl_alpha_0.8_id_0_size_600,0.2505747079849243,5.0
em_Walmart-Amazon_lm_roberta_da_auto_ssl_alpha_0.8_id_0_size_600,0.06545454263687134,6.0
em_Walmart-Amazon_lm_roberta_da_auto_ssl_alpha_0.8_id_0_size_600,0.20759493112564087,7.0
em_Walmart-Amazon_lm_roberta_da_auto_ssl_alpha_0.8_id_0_size_600,0.23999999463558197,8.0
em_Walmart-Amazon_lm_roberta_da_auto_ssl_alpha_0.8_id_0_size_600,0.31446540355682373,9.0
em_Walmart-Amazon_lm_roberta_da_auto_ssl_alpha_0.8_id_0_size_600,0.47838616371154785,10.0
em_Walmart-Amazon_lm_roberta_da_auto_ssl_alpha_0.8_id_0_size_600,0.525073766708374,11.0
em_Walmart-Amazon_lm_roberta_da_auto_ssl_alpha_0.8_id_0_size_600,0.5256797671318054,12.0
em_Walmart-Amazon_lm_roberta_da_auto_ssl_alpha_0.8_id_0_size_600,0.570135772228241,13.0
em_Walmart-Amazon_lm_roberta_da_auto_ssl_alpha_0.8_id_0_size_600,0.5747126340866089,14.0
em_Walmart-Amazon_lm_roberta_da_auto_ssl_alpha_0.8_id_0_size_600,0.5412541031837463,15.0
em_Walmart-Amazon_lm_roberta_da_auto_ssl_alpha_0.8_id_0_size_600,0.5199999809265137,16.0
em_Walmart-Amazon_lm_roberta_da_auto_ssl_alpha_0.8_id_0_size_600,0.5165562629699707,17.0
em_Walmart-Amazon_lm_roberta_da_auto_ssl_alpha_0.8_id_0_size_600,0.5051194429397583,18.0
em_Walmart-Amazon_lm_roberta_da_auto_ssl_alpha_0.8_id_0_size_600,0.5102040767669678,19.0
em_Walmart-Amazon_lm_roberta_da_auto_ssl_alpha_0.8_id_0_size_600,0.5102040767669678,20.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_4_size_450,0.0,1.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_4_size_450,0.0,2.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_4_size_450,0.0,3.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_4_size_450,0.0,4.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_4_size_450,0.48595505952835083,5.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_4_size_450,0.8704753518104553,6.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_4_size_450,0.8875236511230469,7.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_4_size_450,0.9004908800125122,8.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_4_size_450,0.9069767594337463,9.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_4_size_450,0.8536812663078308,10.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_4_size_450,0.9012517333030701,11.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_4_size_450,0.9115002155303955,12.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_4_size_450,0.9146056771278381,13.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_4_size_450,0.9147858023643494,14.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_4_size_450,0.9160516858100891,15.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_4_size_450,0.916397213935852,16.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_4_size_450,0.916551411151886,17.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_4_size_450,0.9168975353240967,18.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_4_size_450,0.9168975353240967,19.0
em_DBLP-GoogleScholar-dirty_lm_roberta_da_dacon_fixed_consistency_alpha_0.8_id_4_size_450,0.9168975353240967,20.0
